metric,metric_label,metric_order,depth_label,treatment_label,n_samples,n_series,phi_per_30d,half_life_days,days_to_corr05,delta_aic_car1_minus_null,fit_ok,metric_clean
frac_lignin,"Lignin-like formulae
(%)",6,0-10 cm,Control,54,3,0.132464896013365,10.2869439904931,44.4594322430451,0.967165714067363,TRUE,Lignin-like formulae (%)
frac_lignin,"Lignin-like formulae
(%)",6,0-10 cm,Warmed,53,3,0.692294235341107,56.5458663663931,244.387168498661,-20.8251000263236,TRUE,Lignin-like formulae (%)
frac_lignin,"Lignin-like formulae
(%)",6,10-30 cm,Control,46,3,0.557495297032008,35.5885201117397,153.811024926392,0.106068542790496,TRUE,Lignin-like formulae (%)
frac_lignin,"Lignin-like formulae
(%)",6,10-30 cm,Warmed,42,3,0.801501177326791,93.9780567476175,406.166403760447,-9.70415476840489,TRUE,Lignin-like formulae (%)
frac_n_containing,"N-containing formulae
(%)",7,0-10 cm,Control,54,3,0.000468549143910847,2.71259708231733,11.7236495401768,1.97560205663609,TRUE,N-containing formulae (%)
frac_n_containing,"N-containing formulae
(%)",7,0-10 cm,Warmed,53,3,0.0549538050842253,7.16736815837638,30.976849810088,0.936690924213821,TRUE,N-containing formulae (%)
frac_n_containing,"N-containing formulae
(%)",7,10-30 cm,Control,46,3,0.567618606502273,36.7194269921891,158.698723145708,-8.57513975673297,TRUE,N-containing formulae (%)
frac_n_containing,"N-containing formulae
(%)",7,10-30 cm,Warmed,42,3,0.000116820507541003,2.29648918169993,9.92526111399382,2.0076490589405,TRUE,N-containing formulae (%)
mean_ai,"Aromaticity
(mean AI_mod)",5,0-10 cm,Control,54,3,0.509679560925863,30.8534814955464,133.346528500689,-10.2868637540804,TRUE,Aromaticity (mean AI_mod)
mean_ai,"Aromaticity
(mean AI_mod)",5,0-10 cm,Warmed,53,3,0.659836357608005,50.015019432669,216.16131765239,-13.9852227053169,TRUE,Aromaticity (mean AI_mod)
mean_ai,"Aromaticity
(mean AI_mod)",5,10-30 cm,Control,46,3,4.30619157190354e-07,1.4186352960604,6.1312397424423,2.00423364742719,TRUE,Aromaticity (mean AI_mod)
mean_ai,"Aromaticity
(mean AI_mod)",5,10-30 cm,Warmed,42,3,0.135272149893479,10.3947825814179,44.9255028788758,1.66324677828976,TRUE,Aromaticity (mean AI_mod)
mean_hc,"Mean H/C
(formula-count mean)",3,0-10 cm,Control,54,3,0.04295365184808,6.60636465438178,28.5522330048435,0.722733896103591,TRUE,Mean H/C (formula-count mean)
mean_hc,"Mean H/C
(formula-count mean)",3,0-10 cm,Warmed,53,3,0.176865006584456,12.0034595826907,51.8780892062758,-1.43866725904235,TRUE,Mean H/C (formula-count mean)
mean_hc,"Mean H/C
(formula-count mean)",3,10-30 cm,Control,46,3,3.93107539806463e-07,1.40986900402897,6.09335245862369,2.00357945453584,TRUE,Mean H/C (formula-count mean)
mean_hc,"Mean H/C
(formula-count mean)",3,10-30 cm,Warmed,42,3,1.86476510228415e-06,1.57624496623955,6.81241740401547,2.00817365037818,TRUE,Mean H/C (formula-count mean)
mean_nosc,"Mean NOSC
(formula-count mean)",2,0-10 cm,Control,54,3,0.000838598099900197,2.93549748644057,12.6870090591187,1.97708899466076,TRUE,Mean NOSC (formula-count mean)
mean_nosc,"Mean NOSC
(formula-count mean)",2,0-10 cm,Warmed,53,3,0.627733468325791,44.6577453849534,193.007564433557,-12.0035893882781,TRUE,Mean NOSC (formula-count mean)
mean_nosc,"Mean NOSC
(formula-count mean)",2,10-30 cm,Control,46,3,1.17957232628707e-05,1.83246655093491,7.91978866942694,1.99979556220012,TRUE,Mean NOSC (formula-count mean)
mean_nosc,"Mean NOSC
(formula-count mean)",2,10-30 cm,Warmed,42,3,0.44603330626268,25.7560107846095,111.315626622226,0.805594077223418,TRUE,Mean NOSC (formula-count mean)
mean_oc,"Mean O/C
(formula-count mean)",4,0-10 cm,Control,54,3,0.621478485698833,43.7175258834255,188.944003354542,-16.8615192187659,TRUE,Mean O/C (formula-count mean)
mean_oc,"Mean O/C
(formula-count mean)",4,0-10 cm,Warmed,53,3,0.659583495851173,49.9689530497132,215.962222057663,-13.6018787006558,TRUE,Mean O/C (formula-count mean)
mean_oc,"Mean O/C
(formula-count mean)",4,10-30 cm,Control,46,3,0.000236842146969235,2.49091096839418,10.7655380961659,1.98856121861112,TRUE,Mean O/C (formula-count mean)
mean_oc,"Mean O/C
(formula-count mean)",4,10-30 cm,Warmed,42,3,7.46513497159778e-06,1.76145235298848,7.61287041218636,2.00560732588974,TRUE,Mean O/C (formula-count mean)
richness,"Formula richness
(detected formulae)",1,0-10 cm,Control,54,3,2.42240479907252e-07,1.36505995390987,5.89969096600873,2.00552887015138,TRUE,Formula richness (detected formulae)
richness,"Formula richness
(detected formulae)",1,0-10 cm,Warmed,53,3,0.601784220018954,40.9454680880631,176.963368888114,-13.2674099162707,TRUE,Formula richness (detected formulae)
richness,"Formula richness
(detected formulae)",1,10-30 cm,Control,46,3,0.669450416307324,51.817866587034,223.953093419628,-10.574859027976,TRUE,Formula richness (detected formulae)
richness,"Formula richness
(detected formulae)",1,10-30 cm,Warmed,42,3,0.175823372345523,11.9626705677453,51.7018020166207,-0.34765643525148,TRUE,Formula richness (detected formulae)
